Rigidity(GV),Filter,Latitude,Longitude,X,Y,Z
19.6980,1,40.6006,60.8697,6.47031,10.3254,11.5615
19.6970,1,40.5996,60.8696,6.46916,10.3232,11.5589
19.6960,1,40.5987,60.8694,6.46801,10.3211,11.5563
19.6950,1,40.5977,60.8693,6.46685,10.3189,11.5538
19.6940,1,40.5968,60.8691,6.46570,10.3167,11.5512
19.6930,1,40.5958,60.8690,6.46455,10.3145,11.5487
19.6920,1,40.5949,60.8688,6.46340,10.3123,11.5461
19.6910,1,40.5940,60.8687,6.46224,10.3101,11.5436
19.6900,1,40.5930,60.8685,6.46109,10.3079,11.5410
19.6890,1,40.5921,60.8684,6.45994,10.3058,11.5385
19.6880,1,40.5911,60.8683,6.45879,10.3036,11.5359
19.6870,1,40.5902,60.8681,6.45764,10.3014,11.5333
19.6860,1,40.5892,60.8680,6.45649,10.2992,11.5308
19.6850,1,40.5883,60.8678,6.45534,10.2970,11.5282
19.6840,1,40.5873,60.8677,6.45419,10.2948,11.5257
19.6830,1,40.5864,60.8675,6.45304,10.2927,11.5231
19.6820,1,40.5854,60.8674,6.45189,10.2905,11.5206
19.6810,1,40.5845,60.8672,6.45075,10.2883,11.5181
19.6800,1,40.5835,60.8671,6.44960,10.2861,11.5155
19.6790,1,40.5826,60.8669,6.44845,10.2840,11.5130
19.6780,1,40.5816,60.8668,6.44730,10.2818,11.5104
19.6770,1,40.5807,60.8666,6.44616,10.2796,11.5079
19.6760,1,40.5797,60.8665,6.44501,10.2774,11.5053
19.6750,1,40.5787,60.8663,6.44386,10.2753,11.5028
19.6740,1,40.5778,60.8662,6.44272,10.2731,11.5002
19.6730,1,40.5768,60.8660,6.44157,10.2709,11.4977
19.6720,1,40.5759,60.8658,6.44043,10.2687,11.4952
19.6710,1,40.5749,60.8657,6.43928,10.2666,11.4926
19.6700,1,40.5740,60.8655,6.43814,10.2644,11.4901
19.6690,1,40.5730,60.8654,6.43700,10.2622,11.4875
19.6680,1,40.5721,60.8652,6.43585,10.2600,11.4850
19.6670,1,40.5711,60.8651,6.43471,10.2579,11.4825
19.6660,1,40.5702,60.8649,6.43357,10.2557,11.4799
19.6650,1,40.5692,60.8648,6.43242,10.2535,11.4774
19.6640,1,40.5683,60.8646,6.43128,10.2514,11.4749
19.6630,1,40.5673,60.8645,6.43014,10.2492,11.4723
19.6620,1,40.5664,60.8643,6.42900,10.2470,11.4698
19.6610,1,40.5654,60.8642,6.42786,10.2449,11.4673
19.6600,1,40.5644,60.8640,6.42672,10.2427,11.4647
19.6590,1,40.5635,60.8638,6.42557,10.2405,11.4622
19.6580,1,40.5625,60.8637,6.42443,10.2384,11.4597
19.6570,1,40.5616,60.8635,6.42329,10.2362,11.4571
19.6560,1,40.5606,60.8634,6.42216,10.2340,11.4546
19.6550,1,40.5597,60.8632,6.42102,10.2319,11.4521
19.6540,1,40.5587,60.8631,6.41988,10.2297,11.4496
19.6530,1,40.5578,60.8629,6.41874,10.2276,11.4470
19.6520,1,40.5568,60.8627,6.41760,10.2254,11.4445
19.6510,1,40.5558,60.8626,6.41646,10.2232,11.4420
19.6500,1,40.5549,60.8624,6.41533,10.2211,11.4395
19.6490,1,40.5539,60.8623,6.41419,10.2189,11.4369
19.6480,1,40.5530,60.8621,6.41305,10.2168,11.4344
19.6470,1,40.5520,60.8619,6.41192,10.2146,11.4319
19.6460,1,40.5511,60.8618,6.41078,10.2124,11.4294
19.6450,1,40.5501,60.8616,6.40964,10.2103,11.4268
19.6440,1,40.5491,60.8615,6.40851,10.2081,11.4243
19.6430,1,40.5482,60.8613,6.40737,10.2060,11.4218
19.6420,1,40.5472,60.8611,6.40624,10.2038,11.4193
19.6410,1,40.5463,60.8610,6.40511,10.2017,11.4168
19.6400,1,40.5453,60.8608,6.40397,10.1995,11.4143
19.6390,1,40.5443,60.8606,6.40284,10.1974,11.4117
19.6380,1,40.5434,60.8605,6.40171,10.1952,11.4092
19.6370,1,40.5424,60.8603,6.40057,10.1931,11.4067
19.6360,1,40.5415,60.8602,6.39944,10.1909,11.4042
19.6350,1,40.5405,60.8600,6.39831,10.1888,11.4017
19.6340,1,40.5395,60.8598,6.39718,10.1866,11.3992
19.6330,1,40.5386,60.8597,6.39604,10.1845,11.3967
19.6320,1,40.5376,60.8595,6.39491,10.1823,11.3942
19.6310,1,40.5367,60.8593,6.39378,10.1802,11.3916
19.6300,1,40.5357,60.8592,6.39265,10.1780,11.3891
19.6290,1,40.5347,60.8590,6.39152,10.1759,11.3866
19.6280,1,40.5338,60.8588,6.39039,10.1737,11.3841
19.6270,1,40.5328,60.8587,6.38926,10.1716,11.3816
19.6260,1,40.5319,60.8585,6.38813,10.1694,11.3791
19.6250,1,40.5309,60.8583,6.38700,10.1673,11.3766
19.6240,1,40.5299,60.8582,6.38588,10.1651,11.3741
19.6230,1,40.5290,60.8580,6.38475,10.1630,11.3716
19.6220,1,40.5280,60.8578,6.38362,10.1609,11.3691
19.6210,1,40.5270,60.8577,6.38249,10.1587,11.3666
19.6200,1,40.5261,60.8575,6.38137,10.1566,11.3641
19.6190,1,40.5251,60.8573,6.38024,10.1544,11.3616
19.6180,1,40.5241,60.8572,6.37911,10.1523,11.3591
19.6170,1,40.5232,60.8570,6.37799,10.1502,11.3566
19.6160,1,40.5222,60.8568,6.37686,10.1480,11.3541
19.6150,1,40.5213,60.8567,6.37574,10.1459,11.3516
19.6140,1,40.5203,60.8565,6.37461,10.1437,11.3491
19.6130,1,40.5193,60.8563,6.37349,10.1416,11.3466
19.6120,1,40.5184,60.8562,6.37236,10.1395,11.3441
19.6110,1,40.5174,60.8560,6.37121,10.1373,11.3416
19.6100,1,40.5165,60.8558,6.37000,10.1350,11.3389
19.6090,1,40.5155,60.8556,6.36879,10.1327,11.3363
19.6080,1,40.5146,60.8555,6.36757,10.1304,11.3336
19.6070,1,40.5136,60.8553,6.36636,10.1281,11.3310
19.6060,1,40.5127,60.8551,6.36515,10.1258,11.3283
19.6050,1,40.5117,60.8550,6.36394,10.1235,11.3257
19.6040,1,40.5108,60.8548,6.36273,10.1212,11.3230
19.6030,1,40.5098,60.8546,6.36152,10.1189,11.3204
19.6020,1,40.5089,60.8544,6.36031,10.1167,11.3177
19.6010,1,40.5079,60.8543,6.35910,10.1144,11.3151
19.6000,1,40.5070,60.8541,6.35790,10.1121,11.3125
19.5990,1,40.5060,60.8539,6.35669,10.1098,11.3098
19.5980,1,40.5051,60.8538,6.35548,10.1075,11.3072
19.5970,1,40.5041,60.8536,6.35427,10.1052,11.3045
19.5960,1,40.5032,60.8534,6.35307,10.1029,11.3019
19.5950,1,40.5022,60.8532,6.35186,10.1007,11.2993
19.5940,1,40.5013,60.8531,6.35065,10.0984,11.2966
19.5930,1,40.5003,60.8529,6.34945,10.0961,11.2940
19.5920,1,40.4994,60.8527,6.34824,10.0938,11.2914
19.5910,1,40.4984,60.8525,6.34704,10.0915,11.2887
19.5900,1,40.4975,60.8524,6.34583,10.0892,11.2861
19.5890,1,40.4965,60.8522,6.34463,10.0870,11.2835
19.5880,1,40.4956,60.8520,6.34343,10.0847,11.2808
19.5870,1,40.4946,60.8518,6.34222,10.0824,11.2782
19.5860,1,40.4937,60.8516,6.34102,10.0801,11.2756
19.5850,1,40.4927,60.8515,6.33982,10.0779,11.2729
19.5840,1,40.4918,60.8513,6.33862,10.0756,11.2703
19.5830,1,40.4908,60.8511,6.33741,10.0733,11.2677
19.5820,1,40.4899,60.8509,6.33621,10.0710,11.2651
19.5810,1,40.4889,60.8508,6.33501,10.0688,11.2624
19.5800,1,40.4880,60.8506,6.33381,10.0665,11.2598
19.5790,1,40.4870,60.8504,6.33261,10.0642,11.2572
19.5780,1,40.4861,60.8502,6.33141,10.0619,11.2546
19.5770,1,40.4851,60.8500,6.33021,10.0597,11.2520
19.5760,1,40.4842,60.8499,6.32901,10.0574,11.2493
19.5750,1,40.4832,60.8497,6.32781,10.0551,11.2467
19.5740,1,40.4822,60.8495,6.32662,10.0529,11.2441
19.5730,1,40.4813,60.8493,6.32542,10.0506,11.2415
19.5720,1,40.4803,60.8491,6.32422,10.0483,11.2389
19.5710,1,40.4794,60.8490,6.32302,10.0460,11.2362
19.5700,1,40.4784,60.8488,6.32183,10.0438,11.2336
19.5690,1,40.4775,60.8486,6.32063,10.0415,11.2310
19.5680,1,40.4765,60.8484,6.31944,10.0393,11.2284
