Rigidity(GV),Filter,Latitude,Longitude,X,Y,Z
19.7140,1,40.6712,60.8654,6.32069,10.0517,11.3062
19.7130,1,40.6700,60.8653,6.32056,10.0513,11.3055
19.7120,1,40.6688,60.8651,6.32042,10.0509,11.3047
19.7110,1,40.6676,60.8649,6.32028,10.0506,11.3039
19.7100,1,40.6664,60.8647,6.32014,10.0502,11.3032
19.7090,1,40.6653,60.8645,6.32001,10.0499,11.3024
19.7080,1,40.6641,60.8643,6.31987,10.0495,11.3017
19.7070,1,40.6629,60.8641,6.31973,10.0491,11.3009
19.7060,1,40.6617,60.8639,6.31959,10.0488,11.3002
19.7050,1,40.6606,60.8637,6.31946,10.0484,11.2994
19.7040,1,40.6594,60.8636,6.31932,10.0480,11.2986
19.7030,1,40.6582,60.8634,6.31918,10.0477,11.2979
19.7020,1,40.6570,60.8632,6.31904,10.0473,11.2971
19.7010,1,40.6550,60.8630,6.32274,10.0538,11.3031
19.7000,1,40.6539,60.8628,6.32260,10.0535,11.3024
19.6990,1,40.6527,60.8626,6.32247,10.0531,11.3016
19.6980,1,40.6515,60.8624,6.32233,10.0527,11.3009
19.6970,1,40.6503,60.8623,6.32219,10.0524,11.3001
19.6960,1,40.6488,60.8621,6.32387,10.0552,11.3025
19.6950,1,40.6476,60.8619,6.32373,10.0548,11.3017
19.6940,1,40.6464,60.8617,6.32359,10.0545,11.3009
19.6930,1,40.6453,60.8615,6.32345,10.0541,11.3002
19.6920,1,40.6441,60.8613,6.32332,10.0537,11.2994
19.6910,1,40.6429,60.8611,6.32318,10.0534,11.2987
19.6900,1,40.6417,60.8609,6.32304,10.0530,11.2979
19.6890,1,40.6405,60.8607,6.32290,10.0527,11.2971
19.6880,1,40.6394,60.8605,6.32277,10.0523,11.2964
19.6870,1,40.6382,60.8604,6.32263,10.0519,11.2956
19.6860,1,40.6370,60.8602,6.32249,10.0516,11.2949
19.6850,1,40.6358,60.8600,6.32235,10.0512,11.2941
19.6840,1,40.6347,60.8598,6.32222,10.0508,11.2934
19.6830,1,40.6335,60.8596,6.32208,10.0505,11.2926
19.6820,1,40.6323,60.8594,6.32194,10.0501,11.2918
19.6810,1,40.6311,60.8592,6.32180,10.0497,11.2911
19.6800,1,40.6290,60.8591,6.32588,10.0569,11.2978
19.6790,1,40.6279,60.8589,6.32574,10.0566,11.2970
19.6780,1,40.6267,60.8587,6.32561,10.0562,11.2962
19.6770,1,40.6255,60.8585,6.32547,10.0558,11.2955
19.6760,1,40.6243,60.8583,6.32533,10.0555,11.2947
19.6750,1,40.6231,60.8581,6.32519,10.0551,11.2940
19.6740,1,40.6220,60.8579,6.32506,10.0548,11.2932
19.6730,1,40.6208,60.8577,6.32492,10.0544,11.2924
19.6720,1,40.6196,60.8575,6.32478,10.0540,11.2917
19.6710,1,40.6184,60.8573,6.32464,10.0537,11.2909
19.6700,1,40.6172,60.8571,6.32451,10.0533,11.2902
19.6690,1,40.6161,60.8569,6.32437,10.0529,11.2894
19.6680,1,40.6149,60.8567,6.32423,10.0526,11.2887
19.6670,1,40.6137,60.8565,6.32409,10.0522,11.2879
19.6660,1,40.6125,60.8564,6.32396,10.0518,11.2871
19.6650,1,40.6113,60.8562,6.32382,10.0515,11.2864
19.6640,1,40.6093,60.8560,6.32789,10.0587,11.2930
19.6630,1,40.6081,60.8558,6.32776,10.0583,11.2923
19.6620,1,40.6069,60.8556,6.32762,10.0579,11.2915
19.6610,1,40.6057,60.8554,6.32748,10.0576,11.2908
19.6600,1,40.6046,60.8552,6.32734,10.0572,11.2900
19.6590,1,40.6034,60.8550,6.32721,10.0568,11.2892
19.6580,1,40.6022,60.8548,6.32707,10.0565,11.2885
19.6570,1,40.6010,60.8547,6.32693,10.0561,11.2877
19.6560,1,40.5998,60.8545,6.32679,10.0557,11.2870
19.6550,1,40.5986,60.8543,6.32666,10.0554,11.2862
19.6540,1,40.5975,60.8541,6.32652,10.0550,11.2854
19.6530,1,40.5963,60.8539,6.32638,10.0547,11.2847
19.6520,1,40.5951,60.8537,6.32624,10.0543,11.2839
19.6510,1,40.5939,60.8535,6.32611,10.0539,11.2832
19.6500,1,40.5927,60.8533,6.32597,10.0536,11.2824
19.6490,1,40.5916,60.8531,6.32583,10.0532,11.2817
19.6480,1,40.5895,60.8529,6.32991,10.0604,11.2883
19.6470,1,40.5883,60.8527,6.32977,10.0600,11.2875
19.6460,1,40.5871,60.8526,6.32963,10.0597,11.2868
19.6450,1,40.5859,60.8524,6.32949,10.0593,11.2860
19.6440,1,40.5848,60.8522,6.32936,10.0589,11.2853
19.6430,1,40.5836,60.8520,6.32922,10.0586,11.2845
19.6420,1,40.5824,60.8518,6.32908,10.0582,11.2837
19.6410,1,40.5812,60.8516,6.32894,10.0578,11.2830
19.6400,1,40.5800,60.8514,6.32881,10.0575,11.2822
19.6390,1,40.5789,60.8512,6.32867,10.0571,11.2815
19.6380,1,40.5777,60.8510,6.32853,10.0567,11.2807
19.6370,1,40.5765,60.8508,6.32839,10.0564,11.2799
19.6360,1,40.5753,60.8506,6.32826,10.0560,11.2792
19.6350,1,40.5741,60.8504,6.32812,10.0556,11.2784
