X,Y,Z
9930.51,4786.87,-1067.53
9922.96,4837.53,-1101.76
9914.67,4888.51,-1135.74
9905.63,4939.80,-1169.44
9895.83,4991.39,-1202.85
9885.27,5043.28,-1235.97
9873.95,5095.43,-1268.77
9861.86,5147.85,-1301.25
9849.01,5200.51,-1333.39
9835.38,5253.41,-1365.19
9820.97,5306.52,-1396.61
9805.79,5359.84,-1427.67
9789.83,5413.35,-1458.33
9773.09,5467.03,-1488.60
9755.57,5520.87,-1518.45
9737.28,5574.86,-1547.87
9718.21,5628.98,-1576.86
9698.36,5683.21,-1605.40
9677.73,5737.53,-1633.48
9656.33,5791.94,-1661.09
9634.16,5846.41,-1688.21
9611.22,5900.93,-1714.84
9587.52,5955.48,-1740.96
9563.05,6010.05,-1766.57
9537.82,6064.62,-1791.65
9511.84,6119.17,-1816.20
9485.12,6173.68,-1840.20
9457.65,6228.14,-1863.64
9429.44,6282.54,-1886.52
9400.50,6336.85,-1908.83
9370.84,6391.06,-1930.56
9340.46,6445.15,-1951.69
9309.37,6499.10,-1972.23
9277.57,6552.90,-1992.17
9245.08,6606.54,-2011.49
9211.91,6659.98,-2030.19
9178.06,6713.22,-2048.27
9143.54,6766.25,-2065.71
9108.36,6819.03,-2082.51
9072.54,6871.57,-2098.68
9036.08,6923.83,-2114.19
8998.99,6975.81,-2129.05
8961.28,7027.49,-2143.25
8922.97,7078.85,-2156.78
8884.06,7129.87,-2169.65
8844.58,7180.55,-2181.86
8804.52,7230.86,-2193.38
8763.91,7280.79,-2204.24
8722.76,7330.33,-2214.41
8681.07,7379.45,-2223.91
8638.86,7428.15,-2232.73
8596.15,7476.41,-2240.86
8552.95,7524.21,-2248.31
8509.28,7571.55,-2255.08
8465.14,7618.40,-2261.17
8420.55,7664.76,-2266.57
8375.52,7710.61,-2271.29
8330.08,7755.94,-2275.33
8284.23,7800.73,-2278.68
8238.00,7844.97,-2281.37
8191.39,7888.66,-2283.37
8144.42,7931.77,-2284.70
8097.10,7974.30,-2285.37
8049.46,8016.23,-2285.36
8001.50,8057.56,-2284.69
7953.25,8098.27,-2283.36
7904.72,8138.36,-2281.38
7855.92,8177.81,-2278.75
7806.87,8216.61,-2275.46
7757.59,8254.75,-2271.54
7708.08,8292.23,-2266.98
7658.38,8329.04,-2261.80
7608.49,8365.17,-2255.99
7558.44,8400.60,-2249.56
7508.23,8435.34,-2242.52
7457.88,8469.38,-2234.87
7407.41,8502.70,-2226.63
7356.83,8535.31,-2217.80
7306.16,8567.19,-2208.39
7255.42,8598.34,-2198.41
7204.63,8628.76,-2187.86
7153.79,8658.44,-2176.75
7102.92,8687.37,-2165.10
7052.04,8715.56,-2152.90
7001.17,8742.99,-2140.18
6950.31,8769.67,-2126.93
6899.50,8795.58,-2113.17
6848.73,8820.74,-2098.91
6798.02,8845.14,-2084.15
6747.40,8868.76,-2068.92
6696.87,8891.63,-2053.21
6646.45,8913.72,-2037.04
6596.16,8935.04,-2020.42
6546.00,8955.60,-2003.35
6496.00,8975.38,-1985.86
6446.16,8994.40,-1967.94
6396.50,9012.65,-1949.62
6347.03,9030.13,-1930.90
6297.77,9046.84,-1911.79
6248.73,9062.79,-1892.31
6199.92,9077.98,-1872.46
6151.35,9092.41,-1852.25
6103.04,9106.08,-1831.71
6055.01,9119.00,-1810.83
6007.25,9131.17,-1789.63
5959.79,9142.59,-1768.13
5912.63,9153.27,-1746.33
5865.78,9163.22,-1724.24
5819.27,9172.43,-1701.88
5773.09,9180.91,-1679.25
5727.25,9188.67,-1656.38
5681.78,9195.71,-1633.26
5636.67,9202.04,-1609.91
5591.94,9207.67,-1586.35
5547.60,9212.59,-1562.58
5503.65,9216.83,-1538.61
5460.10,9220.38,-1514.46
5416.97,9223.25,-1490.13
5374.26,9225.46,-1465.64
5331.98,9227.00,-1441.00
5290.14,9227.88,-1416.22
5248.73,9228.12,-1391.30
5207.78,9227.73,-1366.27
5167.29,9226.70,-1341.12
5127.26,9225.05,-1315.88
5087.70,9222.79,-1290.54
5048.62,9219.93,-1265.12
5010.01,9216.48,-1239.63
4971.90,9212.44,-1214.08
4934.27,9207.82,-1188.48
4897.15,9202.65,-1162.84
4860.52,9196.91,-1137.16
4824.40,9190.63,-1111.46
4788.79,9183.82,-1085.74
4753.69,9176.48,-1060.02
4719.11,9168.63,-1034.30
4685.04,9160.28,-1008.58
4651.50,9151.43,-982.888
4618.48,9142.09,-957.218
4585.99,9132.29,-931.580
4554.03,9122.02,-905.983
4522.60,9111.30,-880.433
4491.70,9100.15,-854.938
4461.33,9088.56,-829.505
4431.50,9076.55,-804.139
4402.20,9064.13,-778.848
4373.44,9051.32,-753.638
4345.21,9038.12,-728.515
4317.52,9024.55,-703.484
4290.36,9010.61,-678.552
4263.74,8996.31,-653.723
4237.66,8981.67,-629.002
4212.10,8966.70,-604.395
4187.08,8951.41,-579.907
4162.59,8935.80,-555.542
4138.64,8919.89,-531.303
4115.21,8903.69,-507.196
4092.30,8887.21,-483.225
4069.93,8870.46,-459.392
4048.07,8853.45,-435.702
4026.74,8836.19,-412.158
4005.92,8818.69,-388.763
3985.62,8800.96,-365.520
3965.83,8783.01,-342.432
3946.55,8764.85,-319.500
3927.78,8746.49,-296.728
3909.51,8727.94,-274.118
3891.74,8709.21,-251.672
3874.47,8690.30,-229.391
3857.70,8671.23,-207.277
3841.41,8652.00,-185.332
3825.61,8632.63,-163.557
3810.29,8613.13,-141.953
3795.45,8593.49,-120.520
3781.08,8573.74,-99.2609
3767.19,8553.87,-78.1747
3753.76,8533.90,-57.2625
3740.79,8513.84,-36.5245
3728.28,8493.69,-15.9609
3716.23,8473.46,4.42820
3704.62,8453.15,24.6429
3693.45,8432.79,44.6835
3682.73,8412.37,64.5503
3672.44,8391.89,84.2437
3662.58,8371.38,103.764
3653.15,8350.83,123.113
3644.14,8330.25,142.291
3635.55,8309.65,161.298
3627.37,8289.03,180.136
3619.59,8268.41,198.806
3612.22,8247.78,217.310
3605.24,8227.15,235.648
3598.66,8206.54,253.822
3592.46,8185.93,271.834
3586.65,8165.35,289.685
3581.22,8144.80,307.377
3576.16,8124.27,324.912
3571.46,8103.78,342.292
3567.13,8083.33,359.518
3563.16,8062.93,376.593
3559.55,8042.58,393.518
3556.28,8022.29,410.297
3553.36,8002.05,426.930
3550.77,7981.88,443.421
3548.53,7961.78,459.772
3546.61,7941.75,475.984
3545.01,7921.80,492.061
3543.74,7901.93,508.005
3542.79,7882.14,523.819
3542.14,7862.45,539.504
3541.81,7842.84,555.065
3541.77,7823.34,570.502
3542.04,7803.93,585.819
3542.59,7784.62,601.019
3543.44,7765.42,616.104
3544.57,7746.32,631.078
3545.98,7727.34,645.942
3547.67,7708.47,660.700
3549.62,7689.72,675.355
3551.85,7671.09,689.909
3554.34,7652.58,704.365
3557.09,7634.20,718.726
3560.09,7615.94,732.996
3563.34,7597.82,747.176
3566.84,7579.82,761.271
3570.58,7561.96,775.282
3574.56,7544.24,789.213
3578.77,7526.65,803.067
3583.22,7509.20,816.846
3587.89,7491.90,830.554
3592.78,7474.74,844.194
3597.89,7457.73,857.769
3603.22,7440.86,871.281
3608.76,7424.14,884.733
3614.50,7407.58,898.129
3620.45,7391.16,911.472
3626.60,7374.90,924.764
3632.95,7358.80,938.009
3639.49,7342.85,951.209
3646.22,7327.06,964.368
3653.13,7311.43,977.488
3660.23,7295.96,990.573
3667.50,7280.65,1003.62
3674.96,7265.50,1016.65
3682.58,7250.52,1029.64
3690.37,7235.71,1042.61
3698.33,7221.06,1055.56
